,url,label,url_delimiter_count,url_digit_count,url_letter_count,url_symbol_count,url_digit_to_letter_ratio,url_encodes_characters,url_uses_https,url_get_port,url_uses_default_port_number,ip_in_url,domain,domain_delimiter_count,domain_digit_count,domain_letter_count,domain_symbol_count,domain_digit_to_letter_ratio,subdomain_in,ip_in_domain,path,path_delimiter_count,path_digit_count,path_letter_count,path_symbol_count,path_digit_to_letter_ratio,query,query_delimiter_count,query_digit_count,query_letter_count,query_symbol_count,query_digit_to_letter_ratio,decoded_query_values,total_query_value_length,avg_query_value_length,max_query_value_length,total_query_value_digit_count,avg_query_value_digit_count,avg_query_value_letter_count,total_query_value_symbol_count,avg_query_value_symbol_count,total_query_variable_length,avg_query_variable_length,max_query_variable_length,total_query_variable_digit_count,avg_query_variable_digit_count,avg_query_variable_letter_count,total_query_variable_symbol_count,avg_query_variable_symbol_count,fragment,fragment_delimiter_count,fragment_digit_count,fragment_letter_count,fragment_symbol_count,fragment_digit_to_letter_ratio,file_ext,file_ext_delimiter_count,file_ext_digit_count,file_ext_letter_count,file_ext_symbol_count,file_ext_digit_to_letter_ratio,file_ext_is_executable
0,http://vq.ag/BSTJjj,0,5,0,14,0,0,0,0,-1,0,0,vq.ag,1,0,4,0,0,0,0,/BSTJjj,1,0,6,0,0,,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
1,http://vq.ag/tQVjRC,0,5,0,14,0,0,0,0,-1,0,0,vq.ag,1,0,4,0,0,0,0,/tQVjRC,1,0,6,0,0,,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
2,http://vq.ag/dAUsYq,0,5,0,14,0,0,0,0,-1,0,0,vq.ag,1,0,4,0,0,0,0,/dAUsYq,1,0,6,0,0,,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
3,http://vq.ag/yaHyuD,0,5,0,14,0,0,0,0,-1,0,0,vq.ag,1,0,4,0,0,0,0,/yaHyuD,1,0,6,0,0,,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
4,http://vq.ag/zhVwhP,0,5,0,14,0,0,0,0,-1,0,0,vq.ag,1,0,4,0,0,0,0,/zhVwhP,1,0,6,0,0,,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
5,https://www.youtube.com/channel/UCdG2SN326Vzbobb0EFykZfA?guided_help_flow=3,0,11,6,58,0,0.103448276,0,1,-1,0,0,www.youtube.com,2,0,13,0,0,1,0,/channel/UCdG2SN326Vzbobb0EFykZfA,2,5,26,0,0.192307692,guided_help_flow=3,3,1,14,0,0.071428571,['3'],1,1,1,0,1,0,0,0,16,16,16,14,0,14,0,0,,0,0,0,0,0,,0,0,0,0,0,0
6,https://www.facebook.com/pages/Impact-XM/791316844281708,0,9,15,32,0,0.46875,0,1,-1,0,0,www.facebook.com,2,0,14,0,0,1,0,/pages/Impact-XM/791316844281708,4,15,13,0,1.153846154,,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
7,https://twitter.com/Impact_XM,0,6,0,23,0,0,0,1,-1,0,0,twitter.com,1,0,10,0,0,0,0,/Impact_XM,2,0,8,0,0,,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
8,http://vq.ag/CLGnN2,0,5,1,13,0,0.076923077,0,0,-1,0,0,vq.ag,1,0,4,0,0,0,0,/CLGnN2,1,1,5,0,0.2,,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
9,http://vq.ag/DKQ4t,0,5,1,12,0,0.083333333,0,0,-1,0,0,vq.ag,1,0,4,0,0,0,0,/DKQ4t,1,1,4,0,0.25,,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0
